,type,homo,murate,index,RF,nrBS
0,net,False,True,1,0.04741930876892363,0.36542305117258367
1,net,False,True,2,0.05286918023421982,0.36045675270939037
2,net,False,True,3,0.05686161096829596,0.3649357021187843
3,net,False,True,4,0.048348329048844015,0.3552058946691541
4,net,False,True,5,0.05009283061982382,0.3603362964792644
5,net,False,True,6,0.05053913167666479,0.35725185195385795
6,net,False,True,7,0.052201513853186,0.35387928207239905
7,net,False,True,8,0.04513281919451605,0.3590356042732574
8,net,False,True,9,0.057316481005428195,0.3656135346880406
9,net,False,True,10,0.055499857183663244,0.36177939481517707
10,net,False,False,1,0.06063410454156005,0.42329322767571836
11,net,False,False,2,0.0778784632961997,0.43707390237988425
12,net,False,False,3,0.08167166523850238,0.43343756930136335
13,net,False,False,4,0.06108540417023738,0.4238371216644262
14,net,False,False,5,0.07350114253070424,0.43134690457548586
15,net,False,False,6,0.06404527277920567,0.42835277426659135
16,net,False,False,7,0.07628891745215542,0.422644394135697
17,net,False,False,8,0.06393316195372728,0.42161301923159433
18,net,False,False,9,0.07778991716652253,0.43667345807394087
19,net,False,False,10,0.07029777206512275,0.43475048014200024
20,net,True,True,1,0.04244572979148796,0.3654676505649508
21,net,True,True,2,0.04860397029420244,0.36005910030745725
22,net,True,True,3,0.05747429305912732,0.3585727768660839
23,net,True,True,4,0.04924307340759866,0.35393175793441806
24,net,True,True,5,0.05791845187089506,0.3608091953135655
25,net,True,True,6,0.04088903170522678,0.35679480597973784
26,net,True,True,7,0.04630105684090284,0.3521702838289531
27,net,True,True,8,0.046799485861182676,0.3583519661358032
28,net,True,True,9,0.05086760925449965,0.36409777504417
29,net,True,True,10,0.04423450442730631,0.36149623440014456
30,net,True,False,1,0.0404877177949155,0.36325462613526993
31,net,True,False,2,0.044409454441588204,0.3576650492602059
32,net,True,False,3,0.05600399885747075,0.35630090108081114
33,net,True,False,4,0.04699514424450201,0.35062391909147894
34,net,True,False,5,0.05319051699514525,0.3578633842027409
35,net,True,False,6,0.038613253356183756,0.353349759007076
36,net,True,False,7,0.04128606112539252,0.34887704907015726
37,net,True,False,8,0.04182947729220207,0.3561731830636286
38,net,True,False,9,0.04829477292202287,0.3622196151298267
39,net,True,False,10,0.041483147672093525,0.35869015648233304
